DEBUG 2020-02-09 09:05:50,154 - pop widget QPushButton blankAllocateButton
DEBUG 2020-02-09 09:05:50,154 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3F30>
DEBUG 2020-02-09 09:05:50,154 - setting property geometry
DEBUG 2020-02-09 09:05:50,154 - setting property font
DEBUG 2020-02-09 09:05:50,192 - push QTextEdit blankText
DEBUG 2020-02-09 09:05:50,193 - pop widget QTextEdit blankText
DEBUG 2020-02-09 09:05:50,193 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3F30>
DEBUG 2020-02-09 09:05:50,193 - setting property geometry
DEBUG 2020-02-09 09:05:50,193 - push QTextEdit answerText
DEBUG 2020-02-09 09:05:50,193 - pop widget QTextEdit answerText
DEBUG 2020-02-09 09:05:50,193 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3F30>
DEBUG 2020-02-09 09:05:50,193 - setting property geometry
DEBUG 2020-02-09 09:05:50,194 - setting property text
DEBUG 2020-02-09 09:05:50,194 - push QLabel blankAllocateLabel
DEBUG 2020-02-09 09:05:50,194 - pop widget QLabel blankAllocateLabel
DEBUG 2020-02-09 09:05:50,194 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3F30>
DEBUG 2020-02-09 09:05:50,194 - setting property geometry
DEBUG 2020-02-09 09:05:50,194 - setting property text
DEBUG 2020-02-09 09:05:50,194 - push QPushButton blankFormatAnswersButton
DEBUG 2020-02-09 09:05:50,194 - pop widget QPushButton blankFormatAnswersButton
DEBUG 2020-02-09 09:05:50,194 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3F30>
